"exp_index","subject","trial","condition","scenario","box_weight","s1","s2","e1","e2","b1","b2","contestant","strength","effort","bonus"
"1a",1,13,"fail",1,5,5,5,20,60,2,8,1,5,20,2
"1a",1,13,"fail",1,5,5,5,20,60,2,8,2,5,60,8
"1a",1,28,"fail",2,7,6,6,30,80,3,7,1,6,30,3
"1a",1,28,"fail",2,7,6,6,30,80,3,7,2,6,80,7
"1a",1,31,"fail",3,5,4,4,30,60,3,6,1,4,30,3
"1a",1,31,"fail",3,5,4,4,30,60,3,6,2,4,60,6
"1a",1,4,"fail",4,6,5,5,20,70,2,7,1,5,20,2
"1a",1,4,"fail",4,6,5,5,20,70,2,7,2,5,70,7
"1a",1,19,"fail",5,8,8,8,20,40,6,8,1,8,20,6
"1a",1,19,"fail",5,8,8,8,20,40,6,8,2,8,40,8
"1a",1,29,"fail",6,6,4,8,40,40,6,5,1,4,40,6
"1a",1,29,"fail",6,6,4,8,40,40,6,5,2,8,40,5
"1a",1,21,"fail",7,7,4,6,60,60,5,5,1,4,60,5
"1a",1,21,"fail",7,7,4,6,60,60,5,5,2,6,60,5
"1a",1,10,"fail",8,6,2,8,50,50,5,3,1,2,50,5
"1a",1,10,"fail",8,6,2,8,50,50,5,3,2,8,50,3
"1a",1,26,"fail",9,9,5,7,70,70,6,6,1,5,70,6
"1a",1,26,"fail",9,9,5,7,70,70,6,6,2,7,70,6
"1a",1,32,"fail",10,8,6,8,30,30,6,4,1,6,30,6
"1a",1,32,"fail",10,8,6,8,30,30,6,4,2,8,30,4
"1a",1,18,"fail",11,3,2,6,60,20,6,3,1,2,60,6
"1a",1,18,"fail",11,3,2,6,60,20,6,3,2,6,20,3
"1a",1,22,"fail",12,5,3,6,80,40,9,4,1,3,80,9
"1a",1,22,"fail",12,5,3,6,80,40,9,4,2,6,40,4
"1a",1,5,"fail",13,5,4,6,30,20,4,3,1,4,30,4
"1a",1,5,"fail",13,5,4,6,30,20,4,3,2,6,20,3
"1a",1,25,"fail",14,9,5,8,80,50,6,4,1,5,80,6
"1a",1,25,"fail",14,9,5,8,80,50,6,4,2,8,50,4
"1a",1,12,"fail",15,8,6,8,40,30,5,5,1,6,40,5
"1a",1,12,"fail",15,8,6,8,40,30,5,5,2,8,30,5
"1a",1,6,"lift",16,4,5,5,20,60,4,8,1,5,20,4
"1a",1,6,"lift",16,4,5,5,20,60,4,8,2,5,60,8
"1a",1,3,"lift",17,5,6,6,30,80,3,8,1,6,30,3
"1a",1,3,"lift",17,5,6,6,30,80,3,8,2,6,80,8
"1a",1,17,"lift",18,3,4,4,30,60,4,6,1,4,30,4
"1a",1,17,"lift",18,3,4,4,30,60,4,6,2,4,60,6
"1a",1,9,"lift",19,4,5,5,20,70,2,8,1,5,20,2
"1a",1,9,"lift",19,4,5,5,20,70,2,8,2,5,70,8
"1a",1,30,"lift",20,4,8,8,20,40,1,3,1,8,20,1
"1a",1,30,"lift",20,4,8,8,20,40,1,3,2,8,40,3
"1a",1,16,"lift",21,4,4,8,40,40,6,6,1,4,40,6
"1a",1,16,"lift",21,4,4,8,40,40,6,6,2,8,40,6
"1a",1,14,"lift",22,5,4,6,60,60,7,6,1,4,60,7
"1a",1,14,"lift",22,5,4,6,60,60,7,6,2,6,60,6
"1a",1,1,"lift",23,5,2,8,50,50,5,6,1,2,50,5
"1a",1,1,"lift",23,5,2,8,50,50,5,6,2,8,50,6
"1a",1,24,"lift",24,6,5,7,70,70,8,8,1,5,70,8
"1a",1,24,"lift",24,6,5,7,70,70,8,8,2,7,70,8
"1a",1,15,"lift",25,3,6,8,30,30,6,6,1,6,30,6
"1a",1,15,"lift",25,3,6,8,30,30,6,6,2,8,30,6
"1a",1,2,"lift",26,2,2,6,60,20,8,4,1,2,60,8
"1a",1,2,"lift",26,2,2,6,60,20,8,4,2,6,20,4
"1a",1,8,"lift",27,3,3,6,80,40,8,4,1,3,80,8
"1a",1,8,"lift",27,3,3,6,80,40,8,4,2,6,40,4
"1a",1,20,"lift",28,2,4,6,30,20,5,3,1,4,30,5
"1a",1,20,"lift",28,2,4,6,30,20,5,3,2,6,20,3
"1a",1,7,"lift",29,6,5,8,80,50,9,6,1,5,80,9
"1a",1,7,"lift",29,6,5,8,80,50,9,6,2,8,50,6
"1a",1,27,"lift",30,4,6,8,40,30,4,3,1,6,40,4
"1a",1,27,"lift",30,4,6,8,40,30,4,3,2,8,30,3
"1a",2,12,"fail",1,5,5,5,20,60,0,0,1,5,20,0
"1a",2,12,"fail",1,5,5,5,20,60,0,0,2,5,60,0
"1a",2,13,"fail",2,7,6,6,30,80,0,0,1,6,30,0
"1a",2,13,"fail",2,7,6,6,30,80,0,0,2,6,80,0
"1a",2,4,"fail",3,5,4,4,30,60,0,0,1,4,30,0
"1a",2,4,"fail",3,5,4,4,30,60,0,0,2,4,60,0
"1a",2,22,"fail",4,6,5,5,20,70,0,0,1,5,20,0
"1a",2,22,"fail",4,6,5,5,20,70,0,0,2,5,70,0
"1a",2,26,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",2,26,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",2,30,"fail",6,6,4,8,40,40,0,0,1,4,40,0
"1a",2,30,"fail",6,6,4,8,40,40,0,0,2,8,40,0
"1a",2,19,"fail",7,7,4,6,60,60,0,0,1,4,60,0
"1a",2,19,"fail",7,7,4,6,60,60,0,0,2,6,60,0
"1a",2,20,"fail",8,6,2,8,50,50,0,0,1,2,50,0
"1a",2,20,"fail",8,6,2,8,50,50,0,0,2,8,50,0
"1a",2,29,"fail",9,9,5,7,70,70,5,5,1,5,70,5
"1a",2,29,"fail",9,9,5,7,70,70,5,5,2,7,70,5
"1a",2,8,"fail",10,8,6,8,30,30,0,0,1,6,30,0
"1a",2,8,"fail",10,8,6,8,30,30,0,0,2,8,30,0
"1a",2,10,"fail",11,3,2,6,60,20,0,0,1,2,60,0
"1a",2,10,"fail",11,3,2,6,60,20,0,0,2,6,20,0
"1a",2,9,"fail",12,5,3,6,80,40,0,0,1,3,80,0
"1a",2,9,"fail",12,5,3,6,80,40,0,0,2,6,40,0
"1a",2,14,"fail",13,5,4,6,30,20,0,0,1,4,30,0
"1a",2,14,"fail",13,5,4,6,30,20,0,0,2,6,20,0
"1a",2,3,"fail",14,9,5,8,80,50,5,5,1,5,80,5
"1a",2,3,"fail",14,9,5,8,80,50,5,5,2,8,50,5
"1a",2,31,"fail",15,8,6,8,40,30,0,0,1,6,40,0
"1a",2,31,"fail",15,8,6,8,40,30,0,0,2,8,30,0
"1a",2,1,"lift",16,4,5,5,20,60,4,6,1,5,20,4
"1a",2,1,"lift",16,4,5,5,20,60,4,6,2,5,60,6
"1a",2,17,"lift",17,5,6,6,30,80,3,8,1,6,30,3
"1a",2,17,"lift",17,5,6,6,30,80,3,8,2,6,80,8
"1a",2,16,"lift",18,3,4,4,30,60,3,6,1,4,30,3
"1a",2,16,"lift",18,3,4,4,30,60,3,6,2,4,60,6
"1a",2,5,"lift",19,4,5,5,20,70,3,7,1,5,20,3
"1a",2,5,"lift",19,4,5,5,20,70,3,7,2,5,70,7
"1a",2,6,"lift",20,4,8,8,20,40,4,6,1,8,20,4
"1a",2,6,"lift",20,4,8,8,20,40,4,6,2,8,40,6
"1a",2,24,"lift",21,4,4,8,40,40,4,6,1,4,40,4
"1a",2,24,"lift",21,4,4,8,40,40,4,6,2,8,40,6
"1a",2,32,"lift",22,5,4,6,60,60,5,5,1,4,60,5
"1a",2,32,"lift",22,5,4,6,60,60,5,5,2,6,60,5
"1a",2,18,"lift",23,5,2,8,50,50,5,5,1,2,50,5
"1a",2,18,"lift",23,5,2,8,50,50,5,5,2,8,50,5
"1a",2,7,"lift",24,6,5,7,70,70,5,5,1,5,70,5
"1a",2,7,"lift",24,6,5,7,70,70,5,5,2,7,70,5
"1a",2,2,"lift",25,3,6,8,30,30,5,5,1,6,30,5
"1a",2,2,"lift",25,3,6,8,30,30,5,5,2,8,30,5
"1a",2,28,"lift",26,2,2,6,60,20,6,4,1,2,60,6
"1a",2,28,"lift",26,2,2,6,60,20,6,4,2,6,20,4
"1a",2,25,"lift",27,3,3,6,80,40,6,4,1,3,80,6
"1a",2,25,"lift",27,3,3,6,80,40,6,4,2,6,40,4
"1a",2,27,"lift",28,2,4,6,30,20,6,4,1,4,30,6
"1a",2,27,"lift",28,2,4,6,30,20,6,4,2,6,20,4
"1a",2,15,"lift",29,6,5,8,80,50,5,5,1,5,80,5
"1a",2,15,"lift",29,6,5,8,80,50,5,5,2,8,50,5
"1a",2,21,"lift",30,4,6,8,40,30,6,8,1,6,40,6
"1a",2,21,"lift",30,4,6,8,40,30,6,8,2,8,30,8
"1a",3,19,"fail",1,5,5,5,20,60,0,0,1,5,20,0
"1a",3,19,"fail",1,5,5,5,20,60,0,0,2,5,60,0
"1a",3,3,"fail",2,7,6,6,30,80,0,0,1,6,30,0
"1a",3,3,"fail",2,7,6,6,30,80,0,0,2,6,80,0
"1a",3,17,"fail",3,5,4,4,30,60,0,0,1,4,30,0
"1a",3,17,"fail",3,5,4,4,30,60,0,0,2,4,60,0
"1a",3,12,"fail",4,6,5,5,20,70,0,0,1,5,20,0
"1a",3,12,"fail",4,6,5,5,20,70,0,0,2,5,70,0
"1a",3,29,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",3,29,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",3,26,"fail",6,6,4,8,40,40,0,0,1,4,40,0
"1a",3,26,"fail",6,6,4,8,40,40,0,0,2,8,40,0
"1a",3,31,"fail",7,7,4,6,60,60,0,0,1,4,60,0
"1a",3,31,"fail",7,7,4,6,60,60,0,0,2,6,60,0
"1a",3,27,"fail",8,6,2,8,50,50,0,0,1,2,50,0
"1a",3,27,"fail",8,6,2,8,50,50,0,0,2,8,50,0
"1a",3,15,"fail",9,9,5,7,70,70,0,0,1,5,70,0
"1a",3,15,"fail",9,9,5,7,70,70,0,0,2,7,70,0
"1a",3,13,"fail",10,8,6,8,30,30,0,0,1,6,30,0
"1a",3,13,"fail",10,8,6,8,30,30,0,0,2,8,30,0
"1a",3,20,"fail",11,3,2,6,60,20,0,0,1,2,60,0
"1a",3,20,"fail",11,3,2,6,60,20,0,0,2,6,20,0
"1a",3,32,"fail",12,5,3,6,80,40,0,0,1,3,80,0
"1a",3,32,"fail",12,5,3,6,80,40,0,0,2,6,40,0
"1a",3,28,"fail",13,5,4,6,30,20,0,0,1,4,30,0
"1a",3,28,"fail",13,5,4,6,30,20,0,0,2,6,20,0
"1a",3,4,"fail",14,9,5,8,80,50,0,0,1,5,80,0
"1a",3,4,"fail",14,9,5,8,80,50,0,0,2,8,50,0
"1a",3,25,"fail",15,8,6,8,40,30,0,0,1,6,40,0
"1a",3,25,"fail",15,8,6,8,40,30,0,0,2,8,30,0
"1a",3,14,"lift",16,4,5,5,20,60,2,2,1,5,20,2
"1a",3,14,"lift",16,4,5,5,20,60,2,2,2,5,60,2
"1a",3,8,"lift",17,5,6,6,30,80,1,2,1,6,30,1
"1a",3,8,"lift",17,5,6,6,30,80,1,2,2,6,80,2
"1a",3,7,"lift",18,3,4,4,30,60,1,3,1,4,30,1
"1a",3,7,"lift",18,3,4,4,30,60,1,3,2,4,60,3
"1a",3,22,"lift",19,4,5,5,20,70,0,2,1,5,20,0
"1a",3,22,"lift",19,4,5,5,20,70,0,2,2,5,70,2
"1a",3,21,"lift",20,4,8,8,20,40,1,1,1,8,20,1
"1a",3,21,"lift",20,4,8,8,20,40,1,1,2,8,40,1
"1a",3,1,"lift",21,4,4,8,40,40,0,0,1,4,40,0
"1a",3,1,"lift",21,4,4,8,40,40,0,0,2,8,40,0
"1a",3,5,"lift",22,5,4,6,60,60,2,1,1,4,60,2
"1a",3,5,"lift",22,5,4,6,60,60,2,1,2,6,60,1
"1a",3,6,"lift",23,5,2,8,50,50,1,1,1,2,50,1
"1a",3,6,"lift",23,5,2,8,50,50,1,1,2,8,50,1
"1a",3,2,"lift",24,6,5,7,70,70,0,2,1,5,70,0
"1a",3,2,"lift",24,6,5,7,70,70,0,2,2,7,70,2
"1a",3,16,"lift",25,3,6,8,30,30,1,1,1,6,30,1
"1a",3,16,"lift",25,3,6,8,30,30,1,1,2,8,30,1
"1a",3,18,"lift",26,2,2,6,60,20,1,1,1,2,60,1
"1a",3,18,"lift",26,2,2,6,60,20,1,1,2,6,20,1
"1a",3,30,"lift",27,3,3,6,80,40,2,1,1,3,80,2
"1a",3,30,"lift",27,3,3,6,80,40,2,1,2,6,40,1
"1a",3,9,"lift",28,2,4,6,30,20,1,1,1,4,30,1
"1a",3,9,"lift",28,2,4,6,30,20,1,1,2,6,20,1
"1a",3,24,"lift",29,6,5,8,80,50,2,2,1,5,80,2
"1a",3,24,"lift",29,6,5,8,80,50,2,2,2,8,50,2
"1a",3,10,"lift",30,4,6,8,40,30,1,1,1,6,40,1
"1a",3,10,"lift",30,4,6,8,40,30,1,1,2,8,30,1
"1a",4,29,"fail",1,5,5,5,20,60,0,2,1,5,20,0
"1a",4,29,"fail",1,5,5,5,20,60,0,2,2,5,60,2
"1a",4,24,"fail",2,7,6,6,30,80,1,4,1,6,30,1
"1a",4,24,"fail",2,7,6,6,30,80,1,4,2,6,80,4
"1a",4,2,"fail",3,5,4,4,30,60,0,2,1,4,30,0
"1a",4,2,"fail",3,5,4,4,30,60,0,2,2,4,60,2
"1a",4,25,"fail",4,6,5,5,20,70,0,4,1,5,20,0
"1a",4,25,"fail",4,6,5,5,20,70,0,4,2,5,70,4
"1a",4,10,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",4,10,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",4,26,"fail",6,6,4,8,40,40,1,1,1,4,40,1
"1a",4,26,"fail",6,6,4,8,40,40,1,1,2,8,40,1
"1a",4,27,"fail",7,7,4,6,60,60,2,2,1,4,60,2
"1a",4,27,"fail",7,7,4,6,60,60,2,2,2,6,60,2
"1a",4,30,"fail",8,6,2,8,50,50,2,2,1,2,50,2
"1a",4,30,"fail",8,6,2,8,50,50,2,2,2,8,50,2
"1a",4,7,"fail",9,9,5,7,70,70,3,3,1,5,70,3
"1a",4,7,"fail",9,9,5,7,70,70,3,3,2,7,70,3
"1a",4,31,"fail",10,8,6,8,30,30,0,0,1,6,30,0
"1a",4,31,"fail",10,8,6,8,30,30,0,0,2,8,30,0
"1a",4,13,"fail",11,3,2,6,60,20,2,0,1,2,60,2
"1a",4,13,"fail",11,3,2,6,60,20,2,0,2,6,20,0
"1a",4,18,"fail",12,5,3,6,80,40,4,2,1,3,80,4
"1a",4,18,"fail",12,5,3,6,80,40,4,2,2,6,40,2
"1a",4,12,"fail",13,5,4,6,30,20,0,0,1,4,30,0
"1a",4,12,"fail",13,5,4,6,30,20,0,0,2,6,20,0
"1a",4,15,"fail",14,9,5,8,80,50,4,2,1,5,80,4
"1a",4,15,"fail",14,9,5,8,80,50,4,2,2,8,50,2
"1a",4,4,"fail",15,8,6,8,40,30,0,0,1,6,40,0
"1a",4,4,"fail",15,8,6,8,40,30,0,0,2,8,30,0
"1a",4,3,"lift",16,4,5,5,20,60,1,3,1,5,20,1
"1a",4,3,"lift",16,4,5,5,20,60,1,3,2,5,60,3
"1a",4,9,"lift",17,5,6,6,30,80,3,8,1,6,30,3
"1a",4,9,"lift",17,5,6,6,30,80,3,8,2,6,80,8
"1a",4,28,"lift",18,3,4,4,30,60,3,6,1,4,30,3
"1a",4,28,"lift",18,3,4,4,30,60,3,6,2,4,60,6
"1a",4,16,"lift",19,4,5,5,20,70,2,6,1,5,20,2
"1a",4,16,"lift",19,4,5,5,20,70,2,6,2,5,70,6
"1a",4,22,"lift",20,4,8,8,20,40,3,5,1,8,20,3
"1a",4,22,"lift",20,4,8,8,20,40,3,5,2,8,40,5
"1a",4,19,"lift",21,4,4,8,40,40,4,4,1,4,40,4
"1a",4,19,"lift",21,4,4,8,40,40,4,4,2,8,40,4
"1a",4,17,"lift",22,5,4,6,60,60,6,6,1,4,60,6
"1a",4,17,"lift",22,5,4,6,60,60,6,6,2,6,60,6
"1a",4,6,"lift",23,5,2,8,50,50,3,3,1,2,50,3
"1a",4,6,"lift",23,5,2,8,50,50,3,3,2,8,50,3
"1a",4,14,"lift",24,6,5,7,70,70,7,7,1,5,70,7
"1a",4,14,"lift",24,6,5,7,70,70,7,7,2,7,70,7
"1a",4,32,"lift",25,3,6,8,30,30,3,3,1,6,30,3
"1a",4,32,"lift",25,3,6,8,30,30,3,3,2,8,30,3
"1a",4,8,"lift",26,2,2,6,60,20,5,2,1,2,60,5
"1a",4,8,"lift",26,2,2,6,60,20,5,2,2,6,20,2
"1a",4,21,"lift",27,3,3,6,80,40,8,4,1,3,80,8
"1a",4,21,"lift",27,3,3,6,80,40,8,4,2,6,40,4
"1a",4,1,"lift",28,2,4,6,30,20,3,2,1,4,30,3
"1a",4,1,"lift",28,2,4,6,30,20,3,2,2,6,20,2
"1a",4,5,"lift",29,6,5,8,80,50,7,3,1,5,80,7
"1a",4,5,"lift",29,6,5,8,80,50,7,3,2,8,50,3
"1a",4,20,"lift",30,4,6,8,40,30,4,3,1,6,40,4
"1a",4,20,"lift",30,4,6,8,40,30,4,3,2,8,30,3
"1a",5,2,"fail",1,5,5,5,20,60,0,0,1,5,20,0
"1a",5,2,"fail",1,5,5,5,20,60,0,0,2,5,60,0
"1a",5,16,"fail",2,7,6,6,30,80,0,0,1,6,30,0
"1a",5,16,"fail",2,7,6,6,30,80,0,0,2,6,80,0
"1a",5,4,"fail",3,5,4,4,30,60,0,0,1,4,30,0
"1a",5,4,"fail",3,5,4,4,30,60,0,0,2,4,60,0
"1a",5,18,"fail",4,6,5,5,20,70,0,0,1,5,20,0
"1a",5,18,"fail",4,6,5,5,20,70,0,0,2,5,70,0
"1a",5,8,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",5,8,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",5,13,"fail",6,6,4,8,40,40,0,0,1,4,40,0
"1a",5,13,"fail",6,6,4,8,40,40,0,0,2,8,40,0
"1a",5,6,"fail",7,7,4,6,60,60,0,0,1,4,60,0
"1a",5,6,"fail",7,7,4,6,60,60,0,0,2,6,60,0
"1a",5,7,"fail",8,6,2,8,50,50,0,0,1,2,50,0
"1a",5,7,"fail",8,6,2,8,50,50,0,0,2,8,50,0
"1a",5,5,"fail",9,9,5,7,70,70,0,0,1,5,70,0
"1a",5,5,"fail",9,9,5,7,70,70,0,0,2,7,70,0
"1a",5,30,"fail",10,8,6,8,30,30,0,0,1,6,30,0
"1a",5,30,"fail",10,8,6,8,30,30,0,0,2,8,30,0
"1a",5,9,"fail",11,3,2,6,60,20,0,0,1,2,60,0
"1a",5,9,"fail",11,3,2,6,60,20,0,0,2,6,20,0
"1a",5,12,"fail",12,5,3,6,80,40,0,0,1,3,80,0
"1a",5,12,"fail",12,5,3,6,80,40,0,0,2,6,40,0
"1a",5,21,"fail",13,5,4,6,30,20,0,0,1,4,30,0
"1a",5,21,"fail",13,5,4,6,30,20,0,0,2,6,20,0
"1a",5,26,"fail",14,9,5,8,80,50,0,0,1,5,80,0
"1a",5,26,"fail",14,9,5,8,80,50,0,0,2,8,50,0
"1a",5,19,"fail",15,8,6,8,40,30,0,0,1,6,40,0
"1a",5,19,"fail",15,8,6,8,40,30,0,0,2,8,30,0
"1a",5,29,"lift",16,4,5,5,20,60,1,1,1,5,20,1
"1a",5,29,"lift",16,4,5,5,20,60,1,1,2,5,60,1
"1a",5,31,"lift",17,5,6,6,30,80,1,1,1,6,30,1
"1a",5,31,"lift",17,5,6,6,30,80,1,1,2,6,80,1
"1a",5,25,"lift",18,3,4,4,30,60,1,1,1,4,30,1
"1a",5,25,"lift",18,3,4,4,30,60,1,1,2,4,60,1
"1a",5,15,"lift",19,4,5,5,20,70,1,1,1,5,20,1
"1a",5,15,"lift",19,4,5,5,20,70,1,1,2,5,70,1
"1a",5,20,"lift",20,4,8,8,20,40,1,1,1,8,20,1
"1a",5,20,"lift",20,4,8,8,20,40,1,1,2,8,40,1
"1a",5,27,"lift",21,4,4,8,40,40,1,1,1,4,40,1
"1a",5,27,"lift",21,4,4,8,40,40,1,1,2,8,40,1
"1a",5,28,"lift",22,5,4,6,60,60,1,1,1,4,60,1
"1a",5,28,"lift",22,5,4,6,60,60,1,1,2,6,60,1
"1a",5,32,"lift",23,5,2,8,50,50,1,1,1,2,50,1
"1a",5,32,"lift",23,5,2,8,50,50,1,1,2,8,50,1
"1a",5,3,"lift",24,6,5,7,70,70,1,1,1,5,70,1
"1a",5,3,"lift",24,6,5,7,70,70,1,1,2,7,70,1
"1a",5,10,"lift",25,3,6,8,30,30,1,1,1,6,30,1
"1a",5,10,"lift",25,3,6,8,30,30,1,1,2,8,30,1
"1a",5,24,"lift",26,2,2,6,60,20,1,1,1,2,60,1
"1a",5,24,"lift",26,2,2,6,60,20,1,1,2,6,20,1
"1a",5,1,"lift",27,3,3,6,80,40,1,1,1,3,80,1
"1a",5,1,"lift",27,3,3,6,80,40,1,1,2,6,40,1
"1a",5,14,"lift",28,2,4,6,30,20,1,1,1,4,30,1
"1a",5,14,"lift",28,2,4,6,30,20,1,1,2,6,20,1
"1a",5,17,"lift",29,6,5,8,80,50,1,1,1,5,80,1
"1a",5,17,"lift",29,6,5,8,80,50,1,1,2,8,50,1
"1a",5,22,"lift",30,4,6,8,40,30,1,1,1,6,40,1
"1a",5,22,"lift",30,4,6,8,40,30,1,1,2,8,30,1
"1a",6,2,"fail",1,5,5,5,20,60,0,2,1,5,20,0
"1a",6,2,"fail",1,5,5,5,20,60,0,2,2,5,60,2
"1a",6,17,"fail",2,7,6,6,30,80,3,3,1,6,30,3
"1a",6,17,"fail",2,7,6,6,30,80,3,3,2,6,80,3
"1a",6,29,"fail",3,5,4,4,30,60,3,6,1,4,30,3
"1a",6,29,"fail",3,5,4,4,30,60,3,6,2,4,60,6
"1a",6,31,"fail",4,6,5,5,20,70,0,7,1,5,20,0
"1a",6,31,"fail",4,6,5,5,20,70,0,7,2,5,70,7
"1a",6,15,"fail",5,8,8,8,20,40,2,4,1,8,20,2
"1a",6,15,"fail",5,8,8,8,20,40,2,4,2,8,40,4
"1a",6,18,"fail",6,6,4,8,40,40,3,3,1,4,40,3
"1a",6,18,"fail",6,6,4,8,40,40,3,3,2,8,40,3
"1a",6,14,"fail",7,7,4,6,60,60,5,5,1,4,60,5
"1a",6,14,"fail",7,7,4,6,60,60,5,5,2,6,60,5
"1a",6,4,"fail",8,6,2,8,50,50,2,2,1,2,50,2
"1a",6,4,"fail",8,6,2,8,50,50,2,2,2,8,50,2
"1a",6,12,"fail",9,9,5,7,70,70,5,5,1,5,70,5
"1a",6,12,"fail",9,9,5,7,70,70,5,5,2,7,70,5
"1a",6,24,"fail",10,8,6,8,30,30,3,0,1,6,30,3
"1a",6,24,"fail",10,8,6,8,30,30,3,0,2,8,30,0
"1a",6,3,"fail",11,3,2,6,60,20,1,0,1,2,60,1
"1a",6,3,"fail",11,3,2,6,60,20,1,0,2,6,20,0
"1a",6,10,"fail",12,5,3,6,80,40,5,3,1,3,80,5
"1a",6,10,"fail",12,5,3,6,80,40,5,3,2,6,40,3
"1a",6,32,"fail",13,5,4,6,30,20,3,0,1,4,30,3
"1a",6,32,"fail",13,5,4,6,30,20,3,0,2,6,20,0
"1a",6,8,"fail",14,9,5,8,80,50,5,5,1,5,80,5
"1a",6,8,"fail",14,9,5,8,80,50,5,5,2,8,50,5
"1a",6,30,"fail",15,8,6,8,40,30,4,3,1,6,40,4
"1a",6,30,"fail",15,8,6,8,40,30,4,3,2,8,30,3
"1a",6,6,"lift",16,4,5,5,20,60,2,8,1,5,20,2
"1a",6,6,"lift",16,4,5,5,20,60,2,8,2,5,60,8
"1a",6,16,"lift",17,5,6,6,30,80,4,6,1,6,30,4
"1a",6,16,"lift",17,5,6,6,30,80,4,6,2,6,80,6
"1a",6,1,"lift",18,3,4,4,30,60,3,7,1,4,30,3
"1a",6,1,"lift",18,3,4,4,30,60,3,7,2,4,60,7
"1a",6,7,"lift",19,4,5,5,20,70,2,9,1,5,20,2
"1a",6,7,"lift",19,4,5,5,20,70,2,9,2,5,70,9
"1a",6,13,"lift",20,4,8,8,20,40,4,6,1,8,20,4
"1a",6,13,"lift",20,4,8,8,20,40,4,6,2,8,40,6
"1a",6,26,"lift",21,4,4,8,40,40,8,8,1,4,40,8
"1a",6,26,"lift",21,4,4,8,40,40,8,8,2,8,40,8
"1a",6,27,"lift",22,5,4,6,60,60,6,6,1,4,60,6
"1a",6,27,"lift",22,5,4,6,60,60,6,6,2,6,60,6
"1a",6,9,"lift",23,5,2,8,50,50,5,5,1,2,50,5
"1a",6,9,"lift",23,5,2,8,50,50,5,5,2,8,50,5
"1a",6,20,"lift",24,6,5,7,70,70,7,7,1,5,70,7
"1a",6,20,"lift",24,6,5,7,70,70,7,7,2,7,70,7
"1a",6,22,"lift",25,3,6,8,30,30,6,6,1,6,30,6
"1a",6,22,"lift",25,3,6,8,30,30,6,6,2,8,30,6
"1a",6,28,"lift",26,2,2,6,60,20,6,4,1,2,60,6
"1a",6,28,"lift",26,2,2,6,60,20,6,4,2,6,20,4
"1a",6,21,"lift",27,3,3,6,80,40,8,4,1,3,80,8
"1a",6,21,"lift",27,3,3,6,80,40,8,4,2,6,40,4
"1a",6,5,"lift",28,2,4,6,30,20,5,5,1,4,30,5
"1a",6,5,"lift",28,2,4,6,30,20,5,5,2,6,20,5
"1a",6,25,"lift",29,6,5,8,80,50,8,5,1,5,80,8
"1a",6,25,"lift",29,6,5,8,80,50,8,5,2,8,50,5
"1a",6,19,"lift",30,4,6,8,40,30,5,5,1,6,40,5
"1a",6,19,"lift",30,4,6,8,40,30,5,5,2,8,30,5
"1a",7,12,"fail",1,5,5,5,20,60,2,2,1,5,20,2
"1a",7,12,"fail",1,5,5,5,20,60,2,2,2,5,60,2
"1a",7,31,"fail",2,7,6,6,30,80,0,0,1,6,30,0
"1a",7,31,"fail",2,7,6,6,30,80,0,0,2,6,80,0
"1a",7,4,"fail",3,5,4,4,30,60,0,0,1,4,30,0
"1a",7,4,"fail",3,5,4,4,30,60,0,0,2,4,60,0
"1a",7,32,"fail",4,6,5,5,20,70,5,5,1,5,20,5
"1a",7,32,"fail",4,6,5,5,20,70,5,5,2,5,70,5
"1a",7,29,"fail",5,8,8,8,20,40,0,0,1,8,20,0
"1a",7,29,"fail",5,8,8,8,20,40,0,0,2,8,40,0
"1a",7,27,"fail",6,6,4,8,40,40,0,0,1,4,40,0
"1a",7,27,"fail",6,6,4,8,40,40,0,0,2,8,40,0
"1a",7,10,"fail",7,7,4,6,60,60,0,0,1,4,60,0
"1a",7,10,"fail",7,7,4,6,60,60,0,0,2,6,60,0
"1a",7,17,"fail",8,6,2,8,50,50,0,0,1,2,50,0
"1a",7,17,"fail",8,6,2,8,50,50,0,0,2,8,50,0
"1a",7,18,"fail",9,9,5,7,70,70,0,0,1,5,70,0
"1a",7,18,"fail",9,9,5,7,70,70,0,0,2,7,70,0
"1a",7,26,"fail",10,8,6,8,30,30,5,5,1,6,30,5
"1a",7,26,"fail",10,8,6,8,30,30,5,5,2,8,30,5
"1a",7,19,"fail",11,3,2,6,60,20,0,0,1,2,60,0
"1a",7,19,"fail",11,3,2,6,60,20,0,0,2,6,20,0
"1a",7,5,"fail",12,5,3,6,80,40,0,2,1,3,80,0
"1a",7,5,"fail",12,5,3,6,80,40,0,2,2,6,40,2
"1a",7,15,"fail",13,5,4,6,30,20,0,0,1,4,30,0
"1a",7,15,"fail",13,5,4,6,30,20,0,0,2,6,20,0
"1a",7,25,"fail",14,9,5,8,80,50,5,5,1,5,80,5
